user,1,2,3,4,5,6
1,Original Musiquarium,Daydream,Don Henley's Greatest Hits,Home,Waiting to Exhale: The Soundtrack,Hamlet
2,Ballbreaker,Your Little Secret,Its A Mystery,Everest,Ferris Bueller's Day Off,The Mask of Zorro
3,Ozzmosis,The Rugrats Movie,The Mask of Zorro,Blue's Clues,Everest,The Wedding Singer
4,Ozzmosis,The Rugrats Movie,The Hustler,Great Expectations,Armageddon,The Horse Whisperer
5,Whaler,Another Night,The Hustler,The Little Mermaid,Alice In Chains,The Woman In Me
6,Whaler,Sense and Sensibility,Gone,Hamlet,Daydream,Jesus of Nazareth
7,Charlotte's Web,The Shining,How to Play Piano 1,Jesus of Nazareth,Sony Handycam Digital Recorder,Whaler
8,The Horse Whisperer,Starting Over,Good Will Hunting,Ballbreaker,Jesus of Nazareth,Hamlet
9,Whaler,The Woman In Me,The Picture of Dorian Gray,The Wedding Singer,Schindler's List,Ferris Bueller's Day Off
10,Whaler,Ballbreaker,The Rugrats Movie,The Mask of Zorro,Great Expectations,Everest
11,Ballbreaker,A Bug's Life,Games Rednecks Play,Whaler,Collective Soul,Lucy
12,New Beginning,The Shining,Your Little Secret,Live,Schindler's List,Apollo 13
13,Ballbreaker,Waiting to Exhale: The Soundtrack,Sense and Sensibility,Great Expectations,A Bug's Life,The Little Mermaid
14,Daydream,Whaler,Don Henley's Greatest Hits,The Wedding Singer,The Muppet Movie,The Princess Bride
15,New Beginning,Small Soldiers,Hamlet,The Hustler,Schindler's List,Apollo 13
16,Armageddon,Crash,Hamlet,Small Soldiers,Its A Mystery,Babe
17,New Beginning,You've Got Mail,The Woman In Me,Bridge,The Hustler,Ferris Bueller's Day Off
18,Golf My Way Collection,The Muppet Movie,Throwing Copper,Ballbreaker,Babe,Lucy
19,Schindler's List,Apollo 13,A Bug's Life,Mulan,Swingers,The Princess Bride
20,Cracked Rearview,Hamlet,Hell Freezes Over,Daydream,Armageddon,The Hustler
21,Caddyshack,A Boy Named Goo,Original Musiquarium,Ballbreaker,Big Willie Style,Bridge
22,Hamlet,Crash,Sense and Sensibility,The Year Without a Santa Claus,Original Musiquarium,Home
23,Apollo 13,Lady and the Tramp,The Little Mermaid,The Rugrats Movie,Lucy,Another Night
24,The Parent Trap,How to Play Piano 1,Another Night,Bridge,Cracked Rearview,Home
25,One Hot Minute,Ozzmosis,The Hustler,Live,Sense and Sensibility,Caddyshack
26,Whaler,The Shining,Titanic,Charlotte's Web,You've Got Mail,Olympus Stylus Zoom Compact Camera
27,Titanic,Crazy Sexy Cool,Ballbreaker,Bridge,How to Play Piano 1,Cracked Rearview
28,A Bug's Life,Swingers,Alice In Chains,Games Rednecks Play,New Beginning,Four
29,New Beginning,Hamlet,Schindler's List,Small Soldiers,Daydream,How to Play Piano 1
30,The Picture of Dorian Gray,The Avengers,Caddyshack,A Boy Named Goo,Panasonic Digital Palmcorder Camcorder,Big Willie Style
31,Ferris Bueller's Day Off,Another Night,The Rugrats Movie,Ozzmosis,The Mask of Zorro,The Hustler
32,Whaler,Gone,Dangerous Beauty,The Avengers,A Bug's Life,Swingers
33,Small Soldiers,Hamlet,Its A Mystery,Your Little Secret,Collective Soul,The Object Of My Affection
34,Starting Over,New Beginning,Hell Freezes Over,The Horse Whisperer,Armageddon,Mulan
35,Hamlet,Hell Freezes Over,Armageddon,The Woman In Me,Fresh Horses,How to Play Piano 1
36,Hell Freezes Over,Crash,Sense and Sensibility,The Year Without a Santa Claus,Lady and the Tramp,Original Musiquarium
37,Daydream,Don Henley's Greatest Hits,Waiting to Exhale: The Soundtrack,Home,The Princess Bride,Original Musiquarium
38,New Beginning,Hamlet,Hell Freezes Over,Crash,The Hustler,Blue's Clues
39,Hamlet,Olympus Stylus Zoom Compact Camera,Cracked Rearview,The Lion King,The Parent Trap,Stunt
40,Daydream,Lucy,The Princess Bride,The Lion King,Alice In Chains,Home
41,Titanic,Lady and the Tramp,Good Will Hunting,Ballbreaker,How to Play Piano 1,Jesus of Nazareth
42,Bridge,Swingers,Original Musiquarium,Good Will Hunting,Panasonic Digital Palmcorder Camcorder,Waiting to Exhale: The Soundtrack
