,0,1,2,3,4,5,6,7,8,9,10
0,881.0,39.0,52.0,83.0,489.0,39.0,2.0,3.0,4.0,1.0,65.5
1,639.0,26.0,87.0,135.0,204.0,43.0,2.0,7.0,9.0,1.0,35.5
2,432.0,0.0,9.0,73.0,189.0,28.0,0.0,1.0,5.0,2.0,35.5
3,1329.0,126.0,160.0,160.0,169.0,27.0,4.0,6.0,6.0,1.0,35.5
4,737.0,26.0,36.0,67.0,174.0,48.0,1.0,2.0,3.0,1.0,35.5
5,544.0,0.0,9.0,22.0,342.0,25.0,0.0,1.0,2.0,2.0,55.5
6,1483.0,48.0,64.0,74.0,105.0,43.0,1.0,2.0,3.0,1.0,25.5
7,1335.0,26.0,57.0,96.0,227.0,51.0,2.0,4.0,7.0,1.0,35.5
8,1006.0,489.0,502.0,570.0,622.0,39.0,4.0,5.0,9.0,1.0,65.5
9,2076.0,15.0,52.0,96.0,165.0,37.0,1.0,4.0,6.0,1.0,35.5
10,1452.0,0.0,13.0,1043.0,1151.0,33.0,0.0,1.0,4.0,2.0,75.5
11,1923.0,0.0,0.0,0.0,469.0,52.0,0.0,0.0,0.0,4.0,55.5
12,731.0,61.0,61.0,74.0,428.0,27.0,2.0,2.0,3.0,1.0,75.5
13,549.0,0.0,9.0,22.0,44.0,22.0,0.0,1.0,2.0,2.0,35.5
14,834.0,15.0,283.0,283.0,372.0,44.0,1.0,4.0,4.0,1.0,55.5
15,4297.0,43.0,902.0,902.0,1001.0,48.0,2.0,6.0,6.0,1.0,25.5
16,493.0,39.0,39.0,39.0,154.0,38.0,3.0,3.0,3.0,1.0,55.5
17,2237.0,56.0,453.0,510.0,564.0,49.0,3.0,10.0,13.0,1.0,25.5
18,488.0,17.0,30.0,60.0,116.0,33.0,1.0,2.0,4.0,1.0,95.5
19,563.0,0.0,44.0,129.0,208.0,37.0,0.0,4.0,8.0,2.0,35.5
20,1542.0,26.0,52.0,83.0,141.0,31.0,1.0,3.0,4.0,1.0,85.5
21,1883.0,0.0,0.0,41.0,146.0,43.0,0.0,0.0,2.0,3.0,75.5
22,625.0,41.0,41.0,94.0,153.0,43.0,2.0,2.0,6.0,1.0,95.5
